Second,Requests Per Second
1,0
2,806
3,1189
4,1196
5,1134
6,1155
7,1118
8,1121
9,1105
10,1192
11,1196
12,1140
13,1153
14,1126
15,1109
16,1069
17,1104
18,1121
19,1148
20,1072
21,1135
22,1146
23,1193
24,1129
25,1188
26,1139
27,1162
28,1203
29,1096
30,382
31,2546
32,3508
33,3536
34,3454
35,3682
36,3554
37,3542
38,3963
39,2538
40,2165
41,2628
42,2691
43,3234
44,3235
45,3464
46,3529
47,3428
48,3730
49,3509
50,3405
51,3498
52,3536
53,3215
54,3320
55,3646
56,1407
57,1493
58,3851
59,3569
60,3395
61,3589
62,3614
63,3139
64,3530
65,3333
66,2947
67,3244
68,3598
69,3423
70,3744
71,3497
72,3549
73,3709
74,3477
75,3456
76,3487
77,3608
78,3398
79,3639
80,3663
81,1938
